tweet	label	length	fold
good morning .. i guess im going to sleep .. its nice to look at your picture	1	0.385	5
hairart large tool - /  inch comb ( pack of  ) ( model :  large tool comb  -/ ? ( pack of  )	0	0.46	2
bounty hunter metal detector headphone ( electronics bounty hunter headphones bounty headphones for use with b ...	0	0.57	4
the secrets of freemasonry : that which you should know ( paperback the secrets of freemasonry by elijah muhamm ...	0	0.575	1
that awkward moment when you start crying while watching a tv show	0	0.33	2
i'm sexy and ik it	1	0.09	5
no i don't play it im sorry i got bored with it	0	0.235	4
not intentionality	0	0.09	4
"safety soft foot  ' x  ' ft extra comfort anti-fatigue mat w / durashield / "" ( black / yellow recommended for i ..."	0	0.58	2
let's play titanic . you'll be the ocean , i'll go down on you	1	0.31	1
just came back from shopping	1	0.14	1
"okay i accept . see you in second game at nou camp rt ""  ft : chelsea vs barca - . take that """	1	0.47	5
"x custom picture frame / poster frame . "" wide complete black with ornate gold wood frame (  this fram ..."	0	0.53	2
who's that ? x	1	0.07	1
announcement : #hoodhealth for girls session  will be held in #lovelansing this june ! more details coming soon	1	0.555	4
! ! ! i cant help but notice and bring to your attention your awesomeness	1	0.365	3
i got medical appt may  ! haha cannot rush in time for june batch la	1	0.34	4
holding my new lil nephew for the st time	1	0.205	1
muting u today rt   lmaooo . don't get scared boo	1	0.245	1
fancy sending some maaad love this way ast ? pretttyyy pleasseee xx	1	0.335	2
paris don't wanna jamm with me	0	0.15	1
go a little crazy ; have too much fun	1	0.185	3
#rugby full time and the tahs have it :  points to  . the weary dunlop shield stays in nsw for another year . no bonus pt	0	0.605	5
really wanna see a pic of liam and lux ? !	0	0.21	5
#hatewhen that one person you want to talk isn't online	0	0.275	5
the talmud of the land of israel , volume  : nazir ( chicago studies in the history of judaism edited by the ac ...	0	0.575	3
ugh cass asked me could she call me & i was sleep	0	0.245	4
i can never keep a nail color on for a long time	0	0.24	2
cant waittt !	1	0.065	1
hahaha thanks , i knew it would work ok , so i'm going to apoc , and  of us want crystal skull tix but i can't get ahold of the	1	0.635	5
rock star's rainbow ( hardcover in august  , a renowned entertainment reporter was thrown out of a plane ove ...	0	0.56	4
